Agency,MMR Goal,Critical,Performance Indicator,FY12,FY13,FY14,FY15,FY16,TGT16,TGT17,Desired direction,5yr trend
DEP,4b,FALSE,"Accounts receivable - Total balance ($000,000)","$1,487","$1,561","$1,750","$1,640","$1,666",*,*,Down,Up
DEP,4b,FALSE,Billed amount collected in 30 days (%),54.6%,55.4%,56.7%,61.8%,63.1%,*,*,Up,Up
DEP,5a,FALSE,Air complaints received,"7,931","7,628","7,896","8,776","9,858",*,*,Neutral,Up
DEP,5a,FALSE,Noise complaints received,"35,363","36,130","45,584","53,862","61,784",*,*,Neutral,Up
DEP,5a,FALSE,Asbestos complaints received,"1,461","1,486","1,414","1,674","1,855",*,*,Neutral,Up
DEP,6a,FALSE,Total violations issued,"13,332","13,262","14,077","15,284","14,753",*,*,Neutral,Up
DEP,6a,FALSE,Violations admitted to or upheld at the Environmental Control Board (%),87.8%,88.2%,89.7%,90.9%,93.8%,*,*,Up,Neutral
DEP,6a,FALSE,Collisions involving City vehicles,NA,296,301,337,380,*,*,Down,NA
DEP,6a,FALSE,Workplace injuries reported,NA,515,493,478,352,*,*,Down,NA
DEP,7a,FALSE,Completed customer requests for interpretation,"7,497","11,023","13,870","12,976","13,685",*,*,Neutral,Up
DHS,6a,FALSE,Average wait time to speak with a customer service agent (minutes),22,NA,24,15,10,*,*,Down,NA
DFTA,1a,TRUE,Total meals served (000),"11,276","11,521","11,597","11,671","12,102",*,*,Neutral,Neutral
DFTA,2a,TRUE,Persons who received information and/or supportive services through DFTA's in-house and contracted Caregiver programs,NA,NA,"9,296","11,033","11,342",*,*,Neutral,NA
DFTA,2b,FALSE,Total recipients of case management services,"16,899","17,499","28,233","28,898","32,773",*,*,Neutral,Up
DFTA,3a,FALSE,Completed requests for interpretation,547,485,523,428,892,*,*,Neutral,Up
DFTA,3a,FALSE,Letters responded to in 14 days (%),72.9%,52.8%,59.4%,77.2%,86.5%,*,*,Up,Up
DFTA,3a,FALSE,E-mails responded to in 14 days (%),89.6%,83.7%,96.5%,75.7%,81.4%,*,*,Up,Down
DFTA,3a,FALSE,CORE facility rating,91,95,100,100,96,*,*,Up,Neutral
DFTA,3b,FALSE,SLA - Housing Options-% of SRs Meeting Time to Action,96%,95%,99%,94%,90%,*,*,Neutral,Neutral
DFTA,3b,FALSE,SLA - Home Delivered Meals for Seniors - Missed Delivery - % of SRs Meeting Time to Action,100%,99%,100%,100%,100%,*,*,Neutral,Neutral
DFTA,3b,FALSE,SLA - Elder Abuse-% of SRs Meeting Time to Action,82%,75%,72%,76%,67%,*,*,Neutral,Down
DFTA,3b,FALSE,SLA - Alzheimers Care Information-% of SRs Meeting Time to Action,89%,86%,87%,95%,85%,*,*,Neutral,Neutral
DFTA,3b,FALSE,SLA - Senior Center Complaint-% of SRs Meeting Time to Action,69%,40%,96%,97%,99%,*,*,Neutral,Up
DHS,2a,FALSE,Families with children receiving public assistance (average) (%),NA,87.7%,81.8%,85.4%,81.6%,*,*,Neutral,NA
DHS,2a,FALSE,Average school attendance rate for children in the DHS shelter services system (%),82.7%,83.6%,85.4%,83.9%,82.0%,*,*,Up,Neutral
DHS,6a,FALSE,CORE facility rating,81,91,89,95,100,*,*,Up,Up
DHS,2b,FALSE,"Violent critical incidents in the adult shelter system, per 1,000 residents",NA,NA,NA,NA,1.3,*,*,Down,NA
DHS,2b,FALSE,"Violent critical incidents in the adult family shelter system, per 1,000 residents",NA,NA,NA,NA,2.5,*,*,Down,NA
DHS,2b,FALSE,"Violent critical incidents in the families with children shelter system, per 1,000 residents",NA,NA,NA,NA,0.9,*,*,Neutral,NA
DHS,2b,FALSE,Cost per day for shelter facilities - Single adult facilities ($) (annual),$77.58,$74.80,$78.38,$78.80,$94.57,*,*,Neutral,Up
DHS,2b,FALSE,- Family facilities ($) (annual),$100.82,$102.74,$101.50,$105.37,$120.22,*,*,Neutral,Up
DHS,2b,FALSE,"Evaluations for human services contracts completed on time, as compared to the goal (%)",97.8%,97.2%,98.9%,99.4%,97.5%,*,*,Up,Neutral
DHS,3a,FALSE,"Exits from the adult family shelter system, as compared to monthly goal (%)",70%,104%,78%,75%,82%,*,*,Up,Neutral
DHS,3a,FALSE,"Exits from the families with children shelter system, as compared to monthly goal (%)",99%,103%,90%,107%,107%,*,*,Up,Neutral
DHS,4a,FALSE,Number of chronically homeless individuals placed into permanent and temporary housing by outreach teams,545,720,562,"1,101",878,*,*,Up,Up
DHS,4a,FALSE,Response rate to 311 calls for homeless person assistance from constituents requesting a call back,100.0%,100.0%,100.0%,100.0%,100.0%,*,*,Up,Neutral
DHS,5a,FALSE,Collisions involving City vehicles,NA,48,27,58,60,*,*,Down,NA
DHS,5a,FALSE,Workplace injuries reported,NA,119,112,39,48,*,*,Down,NA
DHS,6a,FALSE,Completed requests for interpretation,"3,230","4,087","4,195","5,787","6,054",*,*,Neutral,Up
DHS,6a,FALSE,Letters responded to in 14 days (%),70.0%,67.4%,83.5%,70.4%,64.8%,*,*,Up,Neutral
DHS,6a,FALSE,E-mails responded to in 14 days (%),88%,66.7%,80.5%,68.6%,61.37%,*,*,Up,Down
DOB,1a,FALSE,Jobs filed,"68,911","72,288","82,551","91,933","93,130",*,*,Neutral,Up
DOB,1a,FALSE,Building permits issued -  Initial,"87,190","88,290","98,302","104,087","109,277",*,*,Neutral,Up
DOB,1a,FALSE,Building permits issued - Renewals,"39,321","41,230","44,538","44,774","52,244",*,*,Neutral,Up
DOB,1a,FALSE,Certificates of Occupancy issued,"6,642","5,949","5,694","5,289","5,893",*,*,Neutral,Down
DOB,1b,FALSE,First plan reviews completed,"63,130","69,380","76,669","84,449","88,542",*,*,Neutral,Up
DOB,1b,FALSE,Average days to complete first plan review (Hub projects) - New buildings,11.5,11.6,12.7,17.9,9.9,*,*,Down,Up
DOB,1b,FALSE,Average days to complete first plan review (Hub projects) -  Major renovation (Alteration I),9.5,11.9,11.9,16.2,9.0,*,*,Down,Up
DOB,1b,FALSE,Average days to complete first plan review (Hub projects) - Minor renovation (Alterations II and III),NA,1.4,1.1,2.6,2.7,*,*,Down,NA
DOB,1b,FALSE,Jobs professionally certified (%),50.3%,55.2%,57.8%,58.8%,61.9%,*,*,Up,Up
DOB,1b,FALSE,- Audits that resulted in revocation notices (%),9.8%,10.4%,13.1%,14.6%,7.7%,*,*,Down,Neutral
DOB,2a,FALSE,Priority A (emergency) complaints received,"14,662","14,511","14,654","15,827","17,629",*,*,Neutral,Up
DOB,2a,FALSE,Priority B (nonemergency) complaints received,"64,402","58,983","70,089","63,160","70,661",*,*,Neutral,Up
DOB,2a,FALSE,Priority A complaints responded to,"14,540","14,542","14,468","15,420","16,927",*,*,Neutral,Up
DOB,2a,FALSE,Priority B complaints responded to,"59,236","51,990","63,215","54,688","60,716",*,*,Neutral,Neutral
DOB,2a,FALSE,- Access obtained and violations were written (%),53.5%,50.2%,44.7%,37.4%,40.4%,*,*,Neutral,Down
DOB,2a,FALSE,Work without a permit complaints where access was obtained and violations were written (%),61.0%,43.9%,32.7%,33.3%,29.5%,*,*,Neutral,Down
DOB,2b,FALSE,Construction inspections resulting in violations (%),20.7%,21.3%,19.1%,18.6%,24.9%,*,*,Neutral,Up
DOB,2b,FALSE,DOB violations issued,"82,606","65,189","82,753","65,215","61,393",*,*,Neutral,Down
DOB,2b,FALSE,Environmental Control Board violations issued,"53,293","43,320","47,768","52,315","55,121",*,*,Neutral,Up
DOB,2c,FALSE,Construction-related incidents,405,403,459,736,979,*,*,Down,Up
DOB,2c,FALSE,- Construction-related accidents,157,173,207,314,500,*,*,Down,Up
DOB,2c,FALSE,Incident inspections resulting in violations (%),77.1%,79.6%,75.2%,70.4%,63.1%,*,*,Neutral,Down
DOB,3a,FALSE,Collisions involving City vehicles,36,22,33,41,44,*,*,Down,Up
DOB,3a,FALSE,Workplace injuries reported,16,17,15,12,10,*,*,Down,Down
DOB,4a,FALSE,Calls answered in 30 seconds (%),91%,NA,NA,NA,NA,*,*,Up,NA
DOB,4a,FALSE,Average customer in-person wait time (minutes),20,NA,NA,NA,NA,*,*,Down,NA
DOB,4a,FALSE,Completed customer requests for interpretation,61,36,17,66,68,*,*,Neutral,Up
DOC,1a,FALSE,Admissions,"84,754","81,758","77,141","67,672","63,758",*,*,Neutral,Down
DOC,1a,FALSE,Average daily population,"12,287","11,827","11,408","10,240","9,790",*,*,Down,Down
DOC,1a,FALSE,Average daily population - adolescent inmates,NA,681,489,216,187,*,*,Down,NA
DOC,1a,FALSE,Inmates in Security Risk Group (% ADP),NA,9.9%,8.2%,11.8%,13.3%,*,*,Down,NA
DOC,1a,FALSE,Fight/assault infractions,"7,552","7,622","8,827","9,424","11,240",*,*,Down,Up
DOC,1a,FALSE,Jail-based arrests of inmates,650,798,995,795,"1,538",*,*,Down,Up
DOC,1a,FALSE,Searches,"225,501","247,868","251,343","255,776","237,757",*,*,Neutral,Neutral
DOC,1a,FALSE,Weapons recovered,"2,324","2,162","2,348","2,240","3,396",*,*,Neutral,Up
DOC,1b,FALSE,Incidents of use of force - total,NA,"2,977","3,779","4,409","4,756",*,*,Down,NA
DOC,1b,FALSE,Incidents of use of force - adolescent inmates,NA,715,624,378,594,*,*,Down,NA
DOC,1b,FALSE,"Department use of force incidents with minor injury (rate per 1,000 ADP)",8.15,10.95,13.23,15.59,15.40,*,*,Down,Up
DOC,1b,FALSE,"Department use of force incidents with no injury (rate per 1,000 ADP)",7.20,9.11,13.19,19.14,24.42,*,*,Down,Up
DOC,1b,FALSE,Incidents and allegations of use of force,"2,837","3,413","4,221","4,822","5,269",*,*,Down,Up
DOC,1c,FALSE,Inmates with a mental health diagnosis (% ADP),34.0%,37.0%,38.0%,41.0%,42.0%,*,*,Neutral,Up
DOC,1c,FALSE,Inmates with a serious mental health diagnosis (% ADP),NA,9.5%,10.2%,11.1%,11.0%,*,*,Neutral,NA
DOC,1c,FALSE,Inmate health clinic visits,"83,914","75,664","77,825","81,873","78,499",*,*,Neutral,Neutral
DOC,2a,FALSE,I-CAN Referrals,NA,"1,420","4,117","3,588","6,194",*,*,Neutral,NA
DOC,2a,TRUE,I-CAN Enrollments,NA,634,"2,408","2,321","4,278",*,*,Neutral,NA
DOC,2a,FALSE,I-CAN Workshops,NA,333,"1,580","2,065","6,505",*,*,Neutral,NA
DOC,2b,FALSE,Average daily number of inmates in vocational skills training programs,148,204,216,256,226,*,*,Up,Up
DOC,2b,FALSE,Average daily attendance in school programs,713,693,526,330,256,*,*,Neutral,Down
DOC,3a,FALSE,Victim Identification Notification Everyday (VINE) system registrations,"16,111","14,929","15,291","15,159","15,440",*,*,Up,Neutral
DOC,3a,FALSE,VINE confirmed notifications,"16,925","17,396","18,445","19,330","21,993",*,*,Up,Up
DOC,4a,FALSE,Collisions involving City vehicles,69,60,104,103,107,*,*,Down,Up
DOC,4a,FALSE,Workplace injuries reported,NA,"2,545","3,599","2,417","2,222",*,*,Down,NA
DOC,4a,FALSE,Accidents involving inmates,38,43,38,44,43,*,*,Down,Up
DOC,5a,FALSE,Letters responded to in 14 days (%),91.4%,82.7%,99.6%,99.4%,99.3%,*,*,Up,Up
DOC,5a,FALSE,E-mails responded to in 14 days (%),100.0%,99.9%,100.0%,100.0%,100.0%,*,*,Up,Neutral
DOE,1a,FALSE,Student enrollment as of October 31 in grades pre-kindergarten to 12 (000),"1,041.5","1,094.9","1,104.5","1,122.8","1,134.0",*,*,Neutral,Neutral
DOE,1a,FALSE,Student Enrollment as of October 31 in full day pre-kindergarten,"15,834","15,917","19,287","53,120","68,547",*,*,Neutral,Up
DOE,1a,FALSE,Students in grades 3 to 8 scoring below standards progressing into a higher level - English language arts (%),46.2%,7.7%,28.0%,29.5%,38.3%,*,*,Up,Neutral
DOE,1a,FALSE,- Math (%),52.1%,7.4%,27.9%,23.3%,24.0%,*,*,Up,Down
DOE,1a,FALSE,Students in grades 3 to 8 progressing from below standards to meeting standards - English language arts (%),17.7%,2.9%,11.0%,12.2%,18.4%,*,*,Up,Up
DOE,1a,FALSE,- Math (%),24.8%,1.7%,12.7%,9.7%,9.9%,*,*,Up,Down
DOE,1a,FALSE,Students in cohort dropping out from high school in 6 years (%) (NYSED),17.1%,16.4%,NA,NA,NA,*,*,Down,NA
DOE,2a,FALSE,Students enrolled as English Language Learners (000),159,160,154,150,151,*,*,Neutral,Neutral
DOE,2b,FALSE,Students with disabilities in cohort dropping out from high school in 6 years (%) (NYSED),26.0%,25.6%,NA,NA,NA,*,*,Down,NA
DOE,2b,FALSE,Students receiving special education services (preliminary unaudited),"221,661","225,325","260,791","270,722","283,017",*,*,Neutral,Up
DOE,2b,FALSE,Special education enrollment - School-age,"194,073","199,302","230,928","239,619","251,755",*,*,Neutral,Up
DOE,2b,FALSE,- Public school,"169,503","176,360","192,110","200,259","206,839",*,*,Neutral,Up
DOE,2b,FALSE,- Non-public school,"24,570","22,942","38,818","39,360","44,916",*,*,Neutral,Up
DOE,2b,FALSE,Special education enrollment - Pre-school,"27,588","26,023","29,863","31,103","31,262",*,*,Neutral,Up
DOE,2b,FALSE,- Public school,703,648,"1,502","1,420","2,124",*,*,Neutral,Up
DOE,2b,FALSE,- Non-public school,"26,885","25,375","28,361","29,683","29,138",*,*,Neutral,Up
DOE,2b,FALSE,Students recommended for special education services,"15,653","15,259","27,651","28,995","29,179",*,*,Neutral,Up
DOE,2b,FALSE,Students no longer in need of special education services,"6,689","7,119","5,464","5,726","5,864",*,*,Neutral,Down
DOE,4a,FALSE,Schools that exceed capacity - Elementary schools (%),33.0%,32.0%,33.0%,65.0%,NA,*,*,Down,NA
DOE,4a,FALSE,- Middle schools (%),12.0%,13.0%,13.0%,24.5%,NA,*,*,Down,NA
DOE,4a,FALSE,- High schools (%),32.0%,33.0%,31.0%,48.7%,NA,*,*,Down,NA
DOE,4a,FALSE,Students in schools that exceed capacity - Elementary/middle schools (%),28.0%,29.0%,31.0%,54.0%,NA,*,*,Down,NA
DOE,4a,FALSE,- High schools (%),48.0%,48.0%,44.0%,48.7%,NA,*,*,Down,NA
DOE,4a,FALSE,Hazardous building violations total backlog,103,123,119,109,94,*,*,Down,Down
DOE,4a,TRUE,- Fair condition (%),48.9%,55.5%,55.6%,50.0%,NA,*,*,Neutral,NA
DOE,4a,FALSE,- Poor condition (%),0.0%,0.0%,0.0%,0.0%,NA,*,*,Down,NA
DOF,4a,FALSE,Cases closed,NA,NA,NA,NA,156,*,*,Neutral,NA
DOE,5a,FALSE,Average lunches served daily,"642,957","625,231","614,698","619,718","599,920",*,*,Up,Neutral
DOE,5a,FALSE,Average breakfasts served daily,"232,149","221,519","224,377","226,572","244,666",*,*,Up,Neutral
DOE,5a,FALSE,Average expenditure per student ($),"$18,623","$19,878","$20,814",NA,NA,*,*,Neutral,NA
DOE,5a,FALSE,- Elementary school ($),"$18,589","$19,701","$20,398",NA,NA,*,*,Neutral,NA
DOE,5a,FALSE,- Middle school ($),"$18,087","$19,256","$20,107",NA,NA,*,*,Neutral,NA
DOE,5a,FALSE,- High school ($),"$16,327","$17,669","$18,658",NA,NA,*,*,Neutral,NA
DOE,5a,FALSE,- Full-time special education (District 75) ($),"$78,631","$79,964","$85,549",NA,NA,*,*,Neutral,NA
DOE,5a,FALSE,Average direct services to schools expenditure per student ($),"$16,728","$16,869","$17,615",NA,NA,*,*,Neutral,NA
DOE,5a,FALSE,Teachers,"72,787","73,844","74,103","74,922","76,351",*,*,Neutral,Neutral
DOE,5a,FALSE,Teachers with 5 or more years teaching experience (%),75.0%,75.8%,75.3%,71.2%,68.5%,*,*,Neutral,Neutral
DOE,5a,FALSE,Principals with 4 or more years experience as principal (%),61.6%,61.0%,59.5%,60.0%,59.9%,*,*,Up,Neutral
DOE,5a,FALSE,Teachers absent 11 or more days (%),13.8%,14.3%,15.9%,14.1%,13.6%,*,*,Down,Neutral
DOE,5a,FALSE,Collisions involving City vehicles,NA,64,45,55,52,*,*,Down,NA
DOE,5a,FALSE,Workplace injuries reported,"3,076","3,091","2,986","3,120","2,997",*,*,Down,Neutral
DOE,5a,FALSE,Accidents in schools - students,"39,947","40,526","40,025","41,235","42,314",*,*,Down,Neutral
DOE,5a,FALSE,Accidents in schools - public,493,513,631,669,730,*,*,Down,Up
DOE,6a,FALSE,Completed requests for interpretation,"9,489","20,265","32,267","49,922","54,626",*,*,Neutral,Up
DOE,6a,FALSE,Parents completing the NYC School Survey,"476,567","486,536","485,696","459,929","497,331",*,*,Neutral,Neutral
DOF,1a,FALSE,- Paid on time (%),94.4%,94.8%,95.0%,95.3%,96.1%,*,*,Up,Neutral
DOF,1a,FALSE,Average turnaround time for audits (days),684,632,677,479,504,*,*,Down,Down
DOF,1a,FALSE,Increase in tax liability as a result of audits (%),10.5%,13.6%,16.0%,18.3%,25.8%,*,*,Up,Up
DOF,1a,FALSE,Originally noticed properties sold in lien sale (%),19%,20%,21%,16%,14%,*,*,Down,Down
DOF,2a,FALSE,Tickets paid before penalty assessed (%),NA,51.5%,53.1%,55.3%,55.2%,*,*,Up,NA
DOF,2b,TRUE,Parking ticket hearings - Total,"1,235,067","901,026","1,104,940","1,041,841","978,447",*,*,Neutral,Down
DOF,2b,FALSE,Parking ticket appeals reviewed,"26,478","36,094","41,405","55,036","58,939",*,*,Neutral,Up
DOF,2b,FALSE,Parking ticket appeals granted a reversal (%),12.2%,9.9%,12.8%,14.0%,10.0%,*,*,Down,Neutral
DOF,3a,FALSE,Senior Citizen Rent Increase Exemption (SCRIE) - Initial applications received,NA,"7,094","8,272","15,713","8,951",*,*,Neutral,NA
DOF,3a,FALSE,SCRIE renewal applications received,NA,"22,670","21,239","23,321","27,760",*,*,Neutral,NA
DOF,3a,FALSE,Disability Rent Increase Exemption (DRIE) - Initial applications received,NA,NA,NA,NA,"2,594",*,*,Neutral,NA
DOF,3a,FALSE,DRIE renewal applications received,NA,NA,NA,NA,"5,816",*,*,Neutral,NA
DOF,4a,FALSE,Inquiries received,NA,NA,NA,NA,381,*,*,Neutral,NA
DOF,4a,FALSE,Cases opened,NA,NA,NA,NA,194,*,*,Neutral,NA
DOF,5a,FALSE,Online property recording transactions (%),NA,NA,NA,NA,58.8%,*,*,Up,NA
FDNY,1a,FALSE,Investigations,"6,636","7,028","7,210","7,679","7,664",*,*,Up,Up
DOF,5a,FALSE,Average time to record and index property documents (days) - Citywide,1.9,3.1,2.4,3.8,3.4,*,*,Down,Up
DOF,6a,FALSE,"Total revenue collected ($000,000)","$28,158","$30,167","$32,227","$34,452","$36,044",*,*,Neutral,Up
DOF,6a,FALSE,"- Property taxes collected ($000,000)","$17,945","$18,751","$19,977","$21,317","$22,946",*,*,Neutral,Up
DOF,6a,FALSE,"- Business taxes collected ($000,000)","$6,838","$7,410","$7,578","$7,724","$7,550",*,*,Neutral,Neutral
DOF,6a,FALSE,"- Property transfer taxes collected ($000,000)","$1,448","$1,828","$2,488","$2,920","$3,008",*,*,Neutral,Up
DOF,6a,FALSE,"- Parking summons revenue ($000,000)",$569,$508,$588,$643,$642,*,*,Neutral,Up
DOF,6a,FALSE,"- Audit and enforcement revenue collected ($000,000)",$743,"$1,009",$911,"$1,132","$1,161",*,*,Neutral,Up
DOF,6a,FALSE,"- Other revenue ($000,000)",$616,$661,$685,$717,$738,*,*,Neutral,Up
DOF,7a,FALSE,Completed customer requests for interpretation,"3,274","3,254","4,353","4,466","5,453",*,*,Neutral,Up
DOHMH,3a,FALSE,Day care initial site inspections,"22,219","23,024","20,091","21,800","22,032",*,*,Neutral,Neutral
DOHMH,3c,FALSE,Initial pest control inspections (000),124,95,94,97,98,*,*,Neutral,Down
DOHMH,3c,FALSE,Initial inspections with active rat signs (ARS) (%),9.6%,11.1%,10.8%,10.7%,13.9%,*,*,Down,Up
DOHMH,4b,FALSE,Individuals in the assisted outpatient mental health treatment program,"1,245","1,289","1,388","1,533","1,570",*,*,Neutral,Up
DOHMH,4b,FALSE,New children receiving services from the Early Intervention Program (000),13.8,13.8,13.7,14.3,14.4,*,*,Neutral,Neutral
DOHMH,4b,FALSE,Calls to LifeNet (000),85.8,92.0,105.1,92.0,97.5,*,*,Neutral,Up
DOHMH,6a,FALSE,Workplace injuries reported,NA,145,118,104,104,*,*,Down,NA
DOHMH,6a,FALSE,Collisions involving City vehicles,NA,23,32,29,23,*,*,Down,NA
DOHMH,6a,FALSE,All summonses issued,"77,949","67,203","66,711","64,625","59,067",*,*,Neutral,Down
DOHMH,6a,FALSE,Violations admitted to or upheld at ECB (%),70.1%,64.4%,57.3%,70.9%,70.0%,*,*,Neutral,Neutral
DOHMH,7a,FALSE,Completed requests for interpretation,"10,278","10,664","11,102","12,475","14,986",*,*,Neutral,Up
DOI,1a,TRUE,Complaints,"12,595","12,659","12,624","11,445","11,610",*,*,Neutral,Neutral
DOI,1a,FALSE,Corruption prevention lecture e-learning attendees,NA,NA,NA,"1,797","15,298",*,*,Neutral,NA
DOI,1a,FALSE,Integrity monitoring agreements,15,21,18,16,16,*,*,Neutral,Neutral
DOI,1b,TRUE,Referrals for civil and administrative action,"1,334","1,235",929,"1,327",840,*,*,Neutral,Down
DOI,1b,TRUE,Referrals for criminal prosecution,"1,000","1,053",612,601,727,*,*,Neutral,Down
DOI,1b,TRUE,Arrests resulting from DOI investigations,808,840,516,499,546,*,*,Neutral,Down
DOI,2a,FALSE,"Time to notify agencies of arrest notifications for current childcare, home care and family care workers after receipt from State Division of Criminal Justice Services (days)",1,2,1,1,1,*,*,Down,Down
DOI,3a,FALSE,Completed requests for interpretation,37,38,17,24,26,*,*,Neutral,Down
DOI,3a,FALSE,Letters responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
DOI,3a,FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
DOI,3a,FALSE,Average wait time to speak with a customer service agent (minutes),3,3,3,3,3,*,*,Down,Neutral
DOI,3a,FALSE,CORE facility rating,95,93,93,98,98,*,*,Up,Neutral
DoITT,1a,FALSE,Average utilization of shared City agencies mainframe system (%),NA,79.6%,79.7%,72.3%,60.9%,*,*,Neutral,NA
DoITT,1a,FALSE,Average utilization of mainframe system used by the Department of Education and DoITT (%),NA,46.5%,49.2%,57.6%,61.2%,*,*,Neutral,NA
DoITT,1a,FALSE,800 MHz network transmissions (000),"2,330.3","2,866.0","3,621.7","2,935.7","3,187.2",*,*,Neutral,Up
DoITT,1b,FALSE,Service incidents,"207,980","219,685","188,745","197,166","230,978",*,*,Neutral,Neutral
DoITT,1c,FALSE,Active projects,NA,NA,NA,34,45,*,*,Neutral,NA
